BOUSTEAD PROJECTS E&C PTE LTD
INCOME STATEMENT BY PROJECT
REPORTING DATE : 01-01-2025 THROUGH 01-10-2025
REPORTING CURRENCY : SGD

CODE,DESCRIPTION,PROJECT_CODE,VALUE
"51","Other income","21199","26,273.92"
"51","Other income","TOTAL","2,814,529.27"
"521001","EXCHANGE GAIN/LOSS - REALISED","10000","7,550.29"
"521001","EXCHANGE GAIN/LOSS - REALISED","10013","3,542.54"
"521001","EXCHANGE GAIN/LOSS - REALISED","TOTAL","11,092.83"
"5210","Other gains / losses","10000","7,550.29"
"5210","Other gains / losses","10013","3,542.54"
"5210","Other gains / losses","TOTAL","11,092.83"
"52","Other gains / losses","10000","7,550.29"
"52","Other gains / losses","10013","3,542.54"
"52","Other gains / losses","TOTAL","11,092.83"
"801001","INCOME TAX EXPENSE - CURRENT YEAR","10000","424,954.10"
"801001","INCOME TAX EXPENSE - CURRENT YEAR","TOTAL","424,954.10"
"801002","INCOME TAX EXPENSE - PRIOR YEAR","10000","-38,000.00"
"801002","INCOME TAX EXPENSE - PRIOR YEAR","TOTAL","-38,000.00"
"8010","Income tax expense","10000","386,954.10"
"8010","Income tax expense","TOTAL","386,954.10"
"802001","DEFERRED TAX EXPENSE - CURRENT YEAR","10000","1,176,237.78"
"802001","DEFERRED TAX EXPENSE - CURRENT YEAR","TOTAL","1,176,237.78"
"802002","DEFERRED TAX EXPENSE - PRIOR YEARS","10000","76,470.00"
"802002","DEFERRED TAX EXPENSE - PRIOR YEARS","TOTAL","76,470.00"
"8020","Deferred tax expense","10000","1,252,707.78"
"8020","Deferred tax expense","TOTAL","1,252,707.78"
"80","Tax expense","10000","1,639,661.88"
"80","Tax expense","TOTAL","1,639,661.88"
